Keith|-36.1|140.35
Kensington Gardens|-35.5333|139.1
Keyneton|-34.5667|139.133
Lake Macquarie|-33.0667|151.6
Lakes Entrance|-37.8833|147.983
Langarra|-12.0833|135.35
Laurieton|-31.65|152.8
Lilydale|-37.75|145.367
Lisarow|-33.3833|151.367
Lucky Bay|-33.6833|136.917
Mackay|-21.15|149.2
Macquarie Island|-54.4833|158.933
Macquarie Park|-33.7667|151.117
Maribyrnong|-37.7833|144.883
Marrickville|-33.9167|151.167
Maryborough|-37.5|143.75
Maryknoll|-38.9167|145.6
Melbourne|-37.8167|144.967
Melville Island|-11.55|130.933
Midland|31.8833|-115.983
Montara Field|-13.0833|124.083
Mooloolaba|-26.6833|153.133
Moorook|-34.2833|140.35
Mordialloc|-38.0167|145.083
Mount Gravatt|-27.5333|153.083
Mount Hawthorn|-31.9167|115.833
Mowbray Heights|-41.3833|147.133
Mulwala|-36|146
Nericon|-34.2|146.033
New Norfolk|-42.7833|147.067
Newtown|-37.7|143.65
Nganhurra|-21.4833|114
Nhulunbuy|-12.1833|136.783
Ningaloo Vision|-21.4|114.083
North Bridge|-33.8|151.217
Oak Flats|-34.55|150.817
Onslow|-21.65|115.1
Paddington|-33.8833|151.217
Padstow|-33.95|151.033
Palmerston|-12.4667|130.833
Pendle Hills|-33.8|150.95
Perth|-31.95|115.85
Phillip Island|-38.4833|145.233
Picton|-34.1833|150.6
Pleystowe|-21.15|149.017
Point Henry Pier/Melbourne|-38.1167|144.433
Port Denison|-29.2667|114.933
Port Fairy|-38.3667|142.233
Port Hacking|-34.0667|151.133
Port Kenny|-33.1667|134.683
Port Melbourne|-37.8333|144.933
Port of Brisbane|-27.3833|153.167
Port Willunga|-35.2667|138.45
Prahran|-37.85|145
Pyrenees|-37.0833|143.483
Pyrmont|-33.8667|151.183
Raffles Bay|-11.2667|132.383
Revesby|-33.95|151
Reynella|-36.1|138.533
Rhodes|-33.8333|151.083
Robe|-37.1833|139.75
Rocky Point|-33.5|123.983
Rosslyn Bay|-23.1667|150.783
Rozelle|-33.85|151.167
Sandgate|-32.8667|151.7
Scoresby|-37.9|145.217
Selby|-37.9167|145.383
Seventeen Mile Rocks/Brisbane|-27.55|152.95
Shea Oak Log|-34.5167|138.817
Skardon River|-11.75|142.017
South Brisbane|-27.4667|153.017
South Trees|-23.9|151.283
Spreyton|-41.2167|146.35
Surry Hills|-33.8833|151.217
Sydney|-33.85|151.2
Sylvania|-34.0167|151.1
Tea Gardens|-32.6667|152.15
The Gurdies|-38.3667|145.55
Thevenard Island|-21.45|114.983
Toombul|-27.4|153.05
Tooradin|-38.2167|145.383
Toronto|-33|151.6
Troughton Island|-13.75|126.133
Tweed Heads South|-28.2|153.533
Twowells|-34.6|138.5
Ulladulla|-35.35|150.417
Umbakumba|-13.85|136.8
Van Gogh Terminal|-21.4|114.083
Warners Bay|-32.9667|151.65
Waterways|-38|145.117
Webberton|-28.75|114.617
Welland|-34.9|138.533
Welshpool|-38.6667|146.433
Wentworth Point|-33.8333|151.067
Werribee|-37.9|144.65
Whitsunday Island|-20.25|149.017
Wingham|-31.8667|152.367
Withnell Bay|-20.5833|116.783
Woolloomooloo|-33.8667|151.217
Woollybutt (Oil facility)|-21.05|114.867
Yarra Junction|-37.7833|145.617
Aruba|12.5|-69.9667
Barcadera|12.4833|-69.9833
Bushiribana|12.55|-69.9667
Maarianhamina (Mariehamn)|60.1|19.95
Mariehamn (Maarianhamina)|60.1|19.95
Alat|39.95|49.4
Khachmaz|41.9833|47.5833
Qaradag|40.25|49.6
Shirvan|39.9167|48.9167
Sumqayit|40.5833|49.6667
Cazin|44.9667|15.9333
Domaljevac|45.05|18.5667
Fojnica|43.95|17.9
Jablanica|43.65|17.75
Maglaj|44.5333|18.0833
Neum|42.9167|17.6167
Sanski Most|44.7667|16.6667
Vogosca|43.9|18.35
Zvornik|44.3833|19.1
Saint Michael|13.1167|-59.6
Ashuganj|24.0333|91.0167
Benapole|23.05|88.9
Chattogram|22.3333|91.8333
Munshiganj|23.55|90.5333
Panchashar|23.5667|90.5
Pangaon|23.65|90.45
Payra Port|21.9333|90.2667
Aalst|50.9333|4.03333
Aalter|51.0833|3.45
Adinkerke|51.0667|2.6
Afsnee|51.0333|3.66667
Amay|50.55|5.31667
Ampsin|50.5333|5.28333
Andenne|50.4833|5.1
Angleur|50.6167|5.58333
Anh�e|50.3167|4.88333
Annevoie|50.3333|4.83333
Anseremme|50.25|4.9
Antheit|50.55|5.21667
Antoing|50.5667|3.45
Antwerpen|51.2167|4.41667
Appels|51.0333|4.06667
Appelterre-Eichem|50.8167|3.96667
Arendonk|51.3167|5.08333
Argenteau|50.7|5.7
Asper|50.9167|3.65
Astene|50.9833|3.55
Ath|50.6167|3.76667
Athis|50.3667|3.76667
Auderghem (Oudergem)/Brussel (Bruxelles)|50.8167|4.43333
Auvelais|50.45|4.61667
Avelgem|50.7667|3.43333
Awirs|50.6|5.4
Baasrode|51.0333|4.16667
Baillonville|50.2833|5.33333
Balen|51.1667|5.15
Balgerhoek|51.2|3.51667
Bas-Oha|50.5167|5.18333
Battel|51.05|4.45
Baudour|50.4833|3.81667
Bazel|51.15|4.3
Beernem|51.15|3.33333
Beerse|51.3167|4.86667
Bellecourt|50.4833|4.25
Beloeil|50.55|3.71667
Ben-Ahin|50.5167|5.16667
Berchem|50.7833|3.5
Berendrecht|51.3333|4.31667
Beringen|51.05|5.21667
Berneau|50.75|5.73333
Bertrix|49.85|5.25
Bever|50.7167|3.93333
Beverlo|51.0833|5.2
Bissegem|50.8167|3.21667
Blankenberge|51.3167|3.13333
Blaregnies|50.35|3.88333
Blaton|50.5|3.65
Bl�haries|50.5167|3.4
Bocholt|51.1667|5.58333
Boekhoute|51.25|3.71667
Boom|51.0833|4.36667
Boorsem|50.9333|5.71667
Boortmeerbeek|50.9833|4.56667
Bornem|51.1|4.23333
Bossuit|50.75|3.4
Bougnies|50.3833|3.93333
Bouvignes-sur-Meuse|50.2667|4.9
Bree|51.1333|5.6
Briegden|50.8667|5.61667
Brugge (Bruges)|51.2167|3.23333
Brussel (Bruxelles)|50.8333|4.33333
Bruxelles (Brussel)|50.8333|4.33333
Bruyelle|50.55|3.41667
Buggenhout|51.0167|4.2
Burcht|51.2|4.35
Calonne|50.5667|3.43333
Canne (Kanne)|50.8167|5.66667
Charleroi|50.4167|4.43333
Ch�telineau|50.4167|4.51667
Cheratte|50.6833|5.66667
Chercq|50.5833|3.4
Chertal|50.6833|5.66667
Clabecq|50.6833|4.21667
Comines|50.7667|2.98333
Couillet|50.3833|4.45
Courcelles|50.4667|4.36667
Daknam|51.1333|3.98333
Dampremy|50.4167|4.4
De Pinte|51|3.65
Deinze|50.9833|3.53333
Denderbelle|51|4.08333
Denderleeuw|50.8833|4.06667
Dendermonde|51.0333|4.11667
Dessel|51.2333|5.11667
Desselgem|50.8833|3.35
Deurne|51.2167|4.46667
Deux-Acren|50.7333|3.85
Diepenbeek|50.9|5.4
Diksmuide|51.0333|2.86667
Dilsen|51.0333|5.73333
Dinant|50.2667|4.91667
Doel|51.3167|4.26667
Doornik (Tournai)|50.6|3.38333
Drongen|51.05|3.66667
Duffel|51.1|4.51667
Eben-Emael|50.8|5.66667
Eeklo|51.1833|3.56667
Eigenbilzen|50.8667|5.58333
Eindhout|51.1|5
Eine|50.8667|3.61667
Eisden|50.9833|5.71667
Eke|50.95|3.63333
Ekeren|51.2833|4.41667
Eksaarde|51.15|3.96667
Emblem|51.1667|4.6
Ename|50.85|3.63333
Engis|50.5833|5.41667
Erquelinnes|50.3|4.11667
Ertvelde|51.1833|3.75
Escanaffles|50.75|3.43333
Espierres (Spiere)|50.7167|3.35
Esquelmes|50.6667|3.33333
Estaimpuis|50.7|3.25
�the|49.5833|5.58333
Evergem|51.1167|3.7
Farciennes|50.4333|4.55
Feluy|50.5667|4.25
Flawinne|50.4667|4.8
Fl�malle|50.6|5.46667
Fl�ne|50.5667|5.33333
Floreffe|50.4333|4.78333
Floriffoux|50.45|4.76667
Fontaine-Valmont|50.3167|4.2
Fortem|51.0167|2.73333
Frani�re|50.4333|4.73333
Gavere|50.9333|3.66667
Geel|51.1667|5
Gellik|50.8833|5.6
Genenbos|51.0167|5.23333
Genk|50.9667|5.5
Gent (Ghent)|51.05|3.71667
Gentbrugge|51.05|3.75
Geraardsbergen|50.7667|3.86667
Ghlin|50.4667|3.88333
Godinne|50.35|4.86667
Godsheide|50.9333|5.38333
Gosselies|50.4667|4.41667
Grembergen|51.05|4.1
Grimbergen|50.9333|4.38333
Grobbendonk|51.2|4.71667
Groot Bijgaarden|50.8667|4.26667
Haccourt|50.7333|5.66667
Halle|50.7333|4.23333
Halluin|50.7833|3.13333
Hamme|51.0833|3.53333
Hamsehoeven|51.1167|5.18333
Ham-sur-Sambre|50.4333|4.66667
Handzame|51.0167|3
Hansbeke|51.0667|3.53333
Harchies|50.4833|3.68333
Harelbeke|50.85|3.3
Haren|50.8833|4.41667
Hasselt|50.9333|5.33333
Hasti�re-par-del�|50.2167|4.83333
Hautrage|50.4833|3.75
Havr�|50.4667|4.03333
Heer|50.1667|4.83333
Heindonk|51.0667|4.4
Helkijn|50.7333|3.38333
