destination|lat|long
Oldersum|53.3333|7.33333
Oortkaten|53.4333|10.1
Orsoy|51.5167|6.68333
Osloss|52.4667|10.6833
Osnabr�ck|52.2667|8.05
Ossenberg|51.5667|6.56667
Ostermoor|53.9|9.18333
Osterr�nfeld|54.2833|9.7
Osterwald|52.1167|9.61667
Ostseebad Goehren|54.3333|13.7333
Ostseebad Kuhlungsborn|54.15|11.75
Ottendorf|49.9667|10.7167
Otterndorf|53.8|8.9
Pahlhude|54.2667|9.31667
Papenburg|53.0667|7.4
Parey|52.6833|12.25
Parkentin|54.0833|11.9833
Passau|48.5667|13.45
Pautzfeld|49.7667|11.0167
Peenem�nde|54.1333|13.7833
Peine|52.3167|10.2333
Pellworm|54.5167|8.63333
Pente|52.3833|7.96667
Perrich|51.65|6.55
Petersdorf|54.2167|12.4333
Pf�rring|48.8167|11.6833
Pfronten|47.5833|10.55
Piesberger|52.3167|8.01667
Piesport|49.8833|6.91667
Piesteritz|51.8667|12.6
Platten|49.95|6.96667
Plessa|51.45|13.6167
Pliezhausen|48.55|9.2
Pollhagen|52.3833|9.2
Potsdam|52.4|13.0667
Prettin|51.6667|12.9167
Pruchten|54.3833|12.6667
Putzkau|51.1|14.2167
Radeburg|51.2167|13.7167
Rech|50.5167|7.03333
Rechlin|53.3333|12.7167
Recke|52.3833|7.71667
Reepsholt|53.4833|7.83333
Reichartshausen|49.35|8.93333
Reichenbach an der Fils|48.7167|9.46667
Rerik|54.1|11.6167
Rethem|52.7833|9.38333
Rheinberg|51.55|6.58333
Rheinsberg|53.1|12.8833
Riedlh�tte|48.9|13.35
Rieneck|50.0833|9.63333
Riesenbeck|52.2667|7.61667
R�dersheim|49.4333|8.25
Roschbach|49.2333|8.11667
Rostock|54.0833|12.1333
Rot an der Rot|48|10.0167
Rotenburg an der Fulda|51|9.73333
Rothensee|52.1833|11.6667
R�desheim|49.85|7.81667
R�desheim am Rhein|49.9833|7.91667
Rudow|52.4167|13.4833
Ruhstorf an der Rott|48.4333|13.3333
R�nthe|51.6333|7.65
Rusbend|52.3167|9.06667
R�sselsheim|49.9833|8.43333
Salbke|52.0833|11.6667
Salzgitter|52.15|10.3167
Salzm�nde|51.5333|11.8333
Sankt Margarethen|53.9|9.25
Schalding|48.6|13.35
Schaprode|54.5167|13.1667
Schechingen|48.8667|9.91667
Schelldorf|52.4667|11.9833
Schleiden|50.5167|6.46667
Schluettsiel|54.6833|8.75
Schmedehausen|52.1|7.71667
Schnackenburg|53.0333|11.5667
Sch�nebeck|52.0167|11.7333
Sch�nfeld|51.3|13.7
Schopsdorf|52.2333|12.2167
Schozach|49.0667|9.2
Schulau|53.5833|9.7
Sch�lper Neuensiel|54.2667|8.93333
Schuttertal|48.2667|7.96667
Schwaan|53.95|12.1167
Schwaigern|49.15|9.06667
Schwanfeld|49.9167|10.1333
Schwarzenbruck|49.35|11.25
Schwedt|53.0667|14.2667
Schweinfurt|50.05|10.2167
Schwelgern|51.5|6.73333
Schwentinental|54.2667|10.2167
Schweringen|52.75|9.18333
Schwielowsee|52.3333|12.9667
Schwindegg|48.2667|12.25
Seelbach|48.3167|7.95
Seeshaupt|47.8333|11.3
Segnitz|49.7333|9.31667
Sehnde|52.3167|9.93333
Seifhennersdorf|50.9333|14.6
Senheim|50.0833|7.2
Serrig|49.5833|6.56667
Sesslach|50.1833|10.85
Spiekeroog|53.7667|7.7
Spyck|51.8|6.13333
Stade|53.6|9.48333
Stader Sand|53.6333|9.51667
Stahlbrode|54.2333|13.2833
Stein|49.5167|12.2333
Steinhorst|52.6833|10.4
Steinwiesen|50.3|11.4667
Stephanskirchen|47.85|12.1833
Stockhausen-Illfurth|50.65|7.98333
Stollhofen|48.75|8.03333
Stolpe|53.8667|13.5667
Strehla/Elbe|51.35|13.2167
Suhrendorf|54.4667|13.1333
Sulzbach-Laufen|48.9333|9.85
Sulzberg|47.6667|10.35
S�nching|48.8833|12.35
Taben|49.55|6.58333
Tangerm�nde|52.55|11.95
Teltow|52.4|13.2667
Temmels|49.6833|6.46667
Teuchern|51.1167|12.0167
Thallwitz|51.4333|12.6667
Thierhaupten|48.5667|10.9167
Thune|52.3167|10.5
Th�ngersheim|49.8667|9.83333
Tiessau|53.1833|10.9833
Torfmoorh�lle|50.1|11.8167
Tossens|53.5667|8.28333
Trebbin|52.2167|13.2167
Trechtingshausen|50|7.83333
Treis-Karden|50.1833|7.3
Udenheim|49.8667|8.16667
Ueckerm�nde|53.7333|14.05
Uelzen|52.9667|10.55
Uesen|53|9.06667
Ulm|48.4|10
Upsch�rt|53.4667|7.73333
Urmitz|50.4|7.51667
Usedom|53.8667|13.9167
Varel|53.4|8.13333
Venhaus|52.35|7.45
Venne|52.4|8.16667
Vetschau|51.7833|14.0833
Vielitz|52.9333|13
Vienenburg|51.95|10.5667
Vierow|54.3|13.7833
Viewrow|54.1167|13.5833
